;
Alkalisierung;Vorgang der Erhöhung des pH-Werts, damit das Milieu alkalischer wird. Bei der Diflunisal-Therapie werden Krebszellen gezielt und selektiv durch pH-sensitive Substanzen angegriffen.
AMT;Modifizierte Kamillenextrakt-Therapie. Dabei wird täglich eine Kombination aus neun pflanzlichen und synthetischen Komponenten mit antitumoraler Wirkung intramuskulär verabreicht. Die genaue Wirkweise ist noch unbekannt, vermutet wird ein immunogener Effekt. Die AMT ist dazu geeignet, die Lebensqualität der Patienten zu verbessern. Im Rahmen von Heilversuchen werden Schmerzreduktion, eine Zunahme von Appetit und Gewicht sowie eine Erhöhung der Leistungsfähigkeit erreicht. In Einzelfällen kann eine antitumorale Wirkung erzielt werden.
Anämie;bedeutet eine Verminderung der Erythrozyten.
Angststörung;Hierunter versteht man allgemein eine unkontrollierbare, den Alltag massiv störende Ängstlichkeit. Diese kann sich auf konkrete Gefahren beziehen, wie sie etwa eine akute Krebserkrankung darstellen kann. Es können aber auch Ängste vor Dingen auftreten, die andere Menschen eher nicht als belastend ansehen.
Antihormontherapie;Körpereigene Hormone werden ausgeschaltet, damit der hormonell bedingte Wachstumsreiz ausgeschaltet wird. Dadurch wird die Ausbreitung eines Tumors und möglicher Metastasen verlangsamt bzw. gehemmt.
Artemisinin;Sekundärer Pflanzenstoff, der in den Blättern und Blüten des Einjährigen Beifußes (Artemisia annua) vorkommt. Artemisinin besitzt eine Peroxidstruktur. Bei hoher Konzentrationen an Eisenionen - wie es beispielsweise bei Tumorerkrankungen der Fall ist - wird dieses Peroxid instabil und zerfällt in freie Radikale, die Krebszellen zerstören können.
Auron Misheil Therapy;Modifizierte Kamillenextrakt-Therapie. Dabei wird täglich eine Kombination aus neun pflanzlichen und synthetischen Komponenten mit antitumoraler Wirkung intramuskulär verabreicht. Die genaue Wirkweise ist noch unbekannt, vermutet wird ein immunogener Effekt. Die AMT ist dazu geeignet, die Lebensqualität der Patienten zu verbessern. Im Rahmen von Heilversuchen werden Schmerzreduktion, eine Zunahme von Appetit und Gewicht sowie eine Erhöhung der Leistungsfähigkeit erreicht. In Einzelfällen kann eine antitumorale Wirkung erzielt werden.
Angiogenesefaktoren;Stoffe, die vom Tumor ausgeschüttet werden, um Blutgefäße anzulocken, die ihn dann ernähren. Daraus kann die Sinnhaftigkeit einer antiangiogenen (blutgefäßhemmenden) Therapie abgeleitet werden.
Bestrahlung;siehe Radiotherapie.
Bildgebende Diagnostik;Oberbegriff, unter dem verschiedene apparative Untersuchungsmethoden zusammengefasst werden. Diese Apparaturen liefern zwei- oder dreidimensionale Bilddaten und werden zur Diagnose von krankheitsbedingten Veränderungen der Strukturen des menschlichen Körpers eingesetzt.
Chemotherapie;Behandlung bösartiger Tumore mit speziellen chemischen Substanzen (Zytostatika). Diese Substanzen hemmen das Wachstum und die Vermehrung der Krebszellen und können bei verschiedensten Krebsarten wie Brust-, Darm- oder Lungenkrebs eingesetzt werden. Besonders sinnvoll ist eine solche Behandlung bei Krebsarten wie Lymphdrüsenkrebs oder Leukämie, bei denen sich die Krebszellen im ganzen Körper ausbreiten. Eine Chemotherapie kann erheblichen Einfluss auf die körperliche Verfassung der Patienten haben und ihre Lebensqualität durch Nebenwirkungen wie Übelkeit oder Haarausfall beeinträchtigen.
CT;Computergestütztes Verfahren der bildgebenden Diagnostik. Mittels einer Röntgenröhre wird ein Fächerstrahl erzeugt, der durch die Strukturen des untersuchten Körperteils unterschiedlich stark abgeschwächt wird. Durch dieses Vorgehen bietet das CT im Vergleich mit einfachen Röntgenbildern eine höhere Kontrastauflösung. Die aufgenommene Datenmenge wird durch einen Computer zu zwei- oder dreidimensionalen Schnittbildern verarbeitet.
Computertomographie;Computergestütztes Verfahren der bildgebenden Diagnostik. Mittels einer Röntgenröhre wird ein Fächerstrahl erzeugt, der durch die Strukturen des untersuchten Körperteils unterschiedlich stark abgeschwächt wird. Durch dieses Vorgehen bietet das CT im Vergleich mit einfachen Röntgenbildern eine höhere Kontrastauflösung. Die aufgenommene Datenmenge wird durch einen Computer zu zwei- oder dreidimensionalen Schnittbildern verarbeitet.
Diagnose;Begriff von griechisch diágnosis = Unterscheidung, Entscheidung. Beschreibt die Feststellung/Bestimmung einer körperlichen oder psychischen Krankheit (durch einen Arzt).
Delfintherapie;Arbeit mit Therapeuten, Patienten und Delfinen im Wasser. Es liegen wissenschaftliche Erkenntnisse zur positiven Auswirkung von der Arbeit mit Delfinen auf Autismus, Zerebralparesen, Down Syndrom, psychologische Erkrankungen wie Depressionen und posttraumatischen Belastungsstörungen vor.
Diflunisal-Therapie;Neuartiger Therapieansatz zur Bekämpfung von Tumoren und Metastasen. Basierend auf der Erkenntnis, dass Krebszellen ein extra-zellulär saures Milieu aufweisen, werden diese gezielt durch pH-sensitive Substanzen (Salizylsäure-Derivat) angegriffen. Bei dieser Therapieform sind die möglichen Nebenwirkungen einer Chemotherapie nicht zu erwarten.
EKG;Standarduntersuchung der Kardiologie. Durch die elektrische Stromkurvenaufzeichnung des Herzens lassen sich vorangegangene Herzinfarkte, Herzrhythmusstörungen oder Mangeldurchblutung diagnostizieren.
